# Release-world tree GROUND PROFILES: how far the ground rises, in decimetres, at
# 16.0 m from each authored tree seat along each of 8 compass bearings.
#
# WHAT IT IS FOR: laying a felled log along the terrain with NO runtime terrain
# query. The game server has no collision mesh for the island it drops the trunk
# onto, so the slope it needs is baked here, ahead of time, one signed byte per
# seat per bearing. Read the bearings either side of the fall heading and tilt.
# The value is the SMALLEST rise for which a straight log line from the seat
# clears every sampled ground point along that bearing - it rests on the high
# side, it does not average.
#
# GENERATED by tools/world-import/generate-tree-ground-profiles.py from
# docs/research/world-data/island-surfaces/ and release-tree-placements.json.
# Regenerate it; do not hand-edit it.
#
# Covered 251 islands, 13266 seats. Skipped 1 islands (0 seats) with no authored
# seats or no extracted surface.
# schema 1 reach 16.0 bearings 8 corridor 4.0 deck 6.0 min-t 8.0 unknown -128
# Bearing 0 is +Z (island-local); each step is +45 degrees towards +X.
# '@' starts an island: '@ <workshopId> <seatCount>'. Then one line per seat, in
# release-tree-placements.json order: 8 signed decimetre integers, space separated.
@ 650186469 60
7 -128 19 54 91 -128 -128 53
1 0 0 0 0 -3 -5 -5
-1 0 1 -7 -2 -3 0 0
-128 -128 1 1 0 0 0 4
0 -16 -34 -4 28 60 -128 21
-67 -65 -21 30 30 -20 -34 -22
-40 -34 0 25 36 24 16 -35
-2 0 12 -14 0 10 8 5
0 35 36 0 -2 -8 -11 -128
-13 -35 -26 -4 23 35 29 8
-128 -128 0 -128 -128 -128 0 -1
-25 -30 -11 -22 33 32 23 -10
32 8 20 62 80 53 3 9
2 -73 -128 -74 1 -39 -128 2
12 -17 -46 -38 -18 35 46 35
-42 -40 -1 36 -128 -128 17 -7
0 0 0 0 0 0 0 0
41 14 -18 -18 -34 -10 13 38
6 -9 -28 -29 -9 11 36 39
45 10 11 8 -2 63 -128 71
4 13 17 13 -8 60 -128 93
-20 -45 -128 -128 -128 28 13 4
0 -37 -128 -9 42 -128 60 37
-1 -128 -128 -128 -128 -128 -1 -1
33 -24 -27 -19 -2 17 33 -128
-19 -29 -38 -9 52 54 57 4
0 0 0 0 0 0 0 0
2 -128 -40 -128 40 -76 -109 -74
-31 53 -128 -8 -34 -39 -26 -128
49 50 22 17 24 -2 25 36
5 -5 -7 -4 5 18 21 11
16 9 9 65 71 57 9 -22
-4 -8 -6 -8 34 28 16 10
-27 -57 -52 0 32 51 43 4
-25 -17 6 35 38 9 10 -14
59 -34 -19 -12 0 -8 2 78
0 0 0 0 0 0 0 0
1 7 6 0 33 63 39 3
-16 -35 -25 1 28 37 34 11
43 15 -38 -32 -24 -40 -9 25
-81 -128 -128 -128 0 -128 -128 -71
1 1 1 0 0 0 0 1
-1 -6 8 3 -3 -16 -11 -7
-49 -46 -44 -3 21 36 -128 -128
0 0 2 81 -128 9 9 0
8 55 70 93 75 51 2 -14
-80 0 0 -128 -128 -128 0 -55
-23 3 19 52 56 43 7 -41
35 36 23 -8 -19 -16 24 31
-28 -20 0 19 26 10 10 -20
-24 -10 15 30 42 24 -128 -50
0 0 2 0 1 0 0 0
37 -7 41 43 57 -128 -128 44
0 0 2 0 0 0 0 0
-2 -20 2 -10 16 71 90 58
37 73 72 42 13 -38 -32 -15
11 13 3 -28 -53 -128 -21 -6
4 -6 -3 -3 -1 21 23 -22
0 0 0 6 30 -128 46 1
