itemTypeId	name	category	iconName	width	height	equippable	characterSlot	rarity	hasMeta	hasColours	hasRewards	description
lore	Codex - Lore Piece		temp_lore_icon	2	2	False	None		False	False	False	
steamInvBundle-xmas_present	Kahi Ceremony Gift	Steam Inventory Bundle	steam inventory bundles/2x2_xmas_present	2	2	False	None		False	False	False	
guitar	Guitar	Instrument	crafted items/6x2_guitar	6	2	True	Tool		True	False	False	
glider	Glider	Equipment	crafted items/3x4_glider	3	4	True	Utility		True	False	False	A personal glider you can deploy by pressing Spacebar while in the air.
marauder_guitar	Marauder Guitar	Instrument	crafted items/6x2_marauder_guitar	6	2	True	Tool		True	False	False	
iron	Iron	Metal	metals/Metal_Iron	3	2	False	None	0	False	False	False	Reasonably tough and heat resistant given its modest weight.
lead	Lead	Metal	metals/Metal_Lead	3	2	False	None	0	False	False	False	Durable and strong but too heavy for many uses.
bronze	Bronze	Metal	metals/Metal_Bronze	3	2	False	None	0	False	False	False	Capable of withstanding a lot of stress for its medium weight.
tin	Tin	Metal	metals/Metal_Tin	3	2	False	None	1	False	False	False	Lightweight but weak, soft and susceptible to heat.
orthite	Orthite	Metal	metals/Metal_Orthite	3	2	False	None	1	False	False	False	Moderately conductive, stress resistant, but weak to heat.
steel	Steel	Metal	metals/Metal_Steel	3	2	False	None	1	False	False	False	Very hard and high performance metal for its weight.
copper	Copper	Metal	metals/Metal_Copper	3	2	False	None	1	False	False	False	A great conductor but otherwise unexceptional.
titanium	Titanium	Metal	metals/Metal_Titanium	3	2	False	None	2	False	False	False	Very light for such a hard metal but a bad conductor.
nickel	Nickel	Metal	metals/Metal_Nickel	3	2	False	None	2	False	False	False	Versatile thanks to its medium weight and a few weaknesses.
epilar	Epilar	Metal	metals/Metal_Epilar	3	2	False	None	2	False	False	False	Durable and resistant to stress but not really hard.
silver	Silver	Metal	metals/Metal_Silver	3	2	False	None	2	False	False	False	A jack of all trades but master of only conductivity.
aluminium	Aluminium	Metal	metals/Metal_Aluminium	3	2	False	None	3	False	False	False	Extremely light without compromising too much on strength
gold	Gold	Metal	metals/Metal_Gold	3	2	False	None	3	False	False	False	Dense yet malleable with extremely high conductivity.
eternium	Eternium	Metal	metals/Metal_Eternium	3	2	False	None	3	False	False	False	Hard, durable, heat resisantant but poor under stress.
tungsten	Tungsten	Metal	metals/Metal_Tungsten	3	2	False	None	3	False	False	False	Unparalleled resistance to the elements but very heavy.
cedar	Cedar Wood	Wood	woods/Wood_Cedar	3	2	False	None		False	False	False	Extremely light and soft, cannot withstand much damage.
hemlock	Hemlock Wood	Wood	woods/Wood_Hemlock	3	2	False	None		False	False	False	Very light but durable enough to be used in certain scenarios.
chestnut	Chestnut Wood	Wood	woods/Wood_Chestnut	3	2	False	None		False	False	False	Lightweight but nevertheless versatile timber.
elm	Elm Wood	Wood	woods/Wood_Elm	3	2	False	None		False	False	False	Medium weight with no outstanding strengths or vulnerabilities.
birch	Birch Wood	Wood	woods/Wood_Birch	3	2	False	None		False	False	False	Soft but otherwise high performance for it's weight.
ash	Ash Wood	Wood	woods/Wood_Ash	3	2	False	None		False	False	False	Extremely flexible all-rounder but heavy for timber.
oak	Oak Wood	Wood	woods/Wood_Oak	3	2	False	None		False	False	False	Durable and versatile but heavy for wood.
palm	Palm Wood	Wood	woods/Wood_palm	3	2	False	None		False	False	False	The heaviest but also most useful wood.
fuel	Fuel	Fuel	misc craft materials/2x2_Fuel_container	2	2	False	None		False	False	False	
torch	Torch		crafted items/1x4_Torch	1	4	False	None		True	False	False	
gauntlet_salvage	Salvage Item		Gauntlet_Salvage	0	0	True	Tool		False	False	False	
gauntlet_repair	Repair Item		Gauntlet_Repair	0	0	True	Tool		False	False	False	
gauntlet_build	Build Item		Gauntlet_Build	0	0	True	Tool		False	False	False	
gauntlet_scanner	Scanner Item		Scanner_Scan	0	0	True	Tool		False	False	False	
scrapItem-Founder's Tome	Founder's Tome	Founder's Pack	scrap items/2x2.Book.Of.Entitlement	2	2	False	None		True	False	False	
scrapItem-badgeofoldage	Badge of the Elderly	Salvage	scrap items/1x1_Badge_ofOld_Age	1	1	False	None		True	False	True	
scrapItem-bandiniancurrency	Bandinian Currency	Salvage	scrap items/1x1_Bandinian_Currency	1	1	False	None		True	False	True	
scrapItem-luckydonkey	Lucky Donkey Hoof	Salvage	scrap items/1x1_Lucky_Donkey	1	1	False	None		True	False	True	
scrapItem-mouseeffigy	Mouse Effigy	Salvage	scrap items/1x1_Mouse_Effigy	1	1	False	None		True	False	True	
scrapItem-saboriandemarcatebadge	Saborian Demarcate Badge	Salvage	scrap items/1x1_Saborian_demarcate_badge	1	1	False	None		True	False	True	
scrapItem-saborianshoulderclasp	Saborian Shoulder Clasp	Salvage	scrap items/1x1_Saborian_Shoulder_Clasp	1	1	False	None		True	False	True	
scrapItem-ternanuantoggle	Ternanuan Thread Spool	Salvage	scrap items/1x1_Ternanuan_Toggle	1	1	False	None		True	False	True	
scrapItem-ternanuantoggle2	Ternanuan Toggle	Salvage	scrap items/1x1_Ternanuan_Toggle2	1	1	False	None		True	False	True	
scrapItem-tonkingpuck	Tonking Puck	Salvage	scrap items/1x1_Tonking_Punk	1	1	False	None		True	False	True	
scrapItem-washer	Iron Washer	Salvage	scrap items/1x1_washer	1	1	False	None		True	False	True	
scrapItem-wolftoken	Wolf Token	Salvage	scrap items/1x1_Wolf_token	1	1	False	None		True	False	True	
scrapItem-saborianbadgeofstate	Saborian Badge of State	Salvage	scrap items/1x1Saborian_Badge_ofState	1	1	False	None		True	False	True	
scrapItem-saborianflyingwings	Saborian Flying Wings	Salvage	scrap items/1x1Saborian_FlyingWings	1	1	False	None		True	False	True	
scrapItem-beetlebloodextractiontool	Beetleblood Extraction Tool	Salvage	scrap items/1x2_Beetleblood_Extraction_Tool	1	2	False	None		True	False	True	
scrapItem-bonehandlemagnifyingglass	BoneHandle Magnifying Glass	Salvage	scrap items/1x2_BoneHandle_Magnifying_Glass	1	2	False	None		True	False	True	
scrapItem-boviarypressurejet	Boviary Pressure Jet	Salvage	scrap items/1x2_Boviary_Pressure_Jet2	1	2	False	None		True	False	True	
scrapItem-candlestick	Candlestick	Salvage	scrap items/1x2_Candlestick	1	2	False	None		True	False	True	
scrapItem-catoNinetails	Snapped Cat o' Nine-tails	Salvage	scrap items/1x2_CatoNine-tails	1	2	False	None		True	False	True	
scrapItem-crackedminingdrill	Mangled Mining Drill	Salvage	scrap items/1x2_cracked_mining_Drill	1	2	False	None		True	False	True	
scrapItem-dustylallaraglove	Dusty Lallara Glove	Salvage	scrap items/1x2_Dusty_Lallara_Glove	1	2	False	None		True	False	True	
scrapItem-oldpipe	Old Pipe	Salvage	scrap items/1x2_Old_pipe	1	2	False	None		True	False	True	
scrapItem-bentpipe	Bent Pipe	Salvage	scrap items/1x2_pipe	1	2	False	None		True	False	True	
scrapItem-saboriandiningtongs	Saborian Dining Tongs	Salvage	scrap items/1x2_Saborian_Dining_Tongs	1	2	False	None		True	False	True	
scrapItem-swordhilt	Sword Hilt	Salvage	scrap items/1x2_Sword_Hilt	1	2	False	None		True	False	True	
scrapItem-ancientbandiniansword	Ancient Bandinian Sword	Salvage	scrap items/1x3_Ancient_Bandinian_Sword	1	3	False	None		True	False	True	
scrapItem-barbersspoonstick	Barbers Spoonstick	Salvage	scrap items/1x3_Barbers_Spoonstick	1	3	False	None		True	False	True	
scrapItem-boviarycoercionprod	Boviary Coercion Prod	Salvage	scrap items/1x3_Boviary_Coercion_prod	1	3	False	None		True	False	True	
scrapItem-crackedsolderingrod	Cracked Soldering Rod	Salvage	scrap items/1x3_Cracked_Soldering_Rod	1	3	False	None		True	False	True	
scrapItem-enginecrank	Engine Crank	Salvage	scrap items/1x3_engine_crank	1	3	False	None		True	False	True	
scrapItem-finecloistrumstrigil	Fine Cloistrum Strigil	Salvage	scrap items/1x3_Fine_Cloistrum_Strigil	1	3	False	None		True	False	True	
scrapItem-grandfrillshipantenna	Grand Frillship Antenna	Salvage	scrap items/1X4_GrandFrillship_Antenna	1	4	False	None		True	False	True	
scrapItem-racingstilts	Pair of Racing Stilts	Salvage	scrap items/1x4_Racing_stilts	1	4	False	None		True	False	True	
scrapItem-swordblade	Sword Blade	Salvage	scrap items/1x4_Sword_Blade	4	1	False	None		True	False	True	
scrapItem-brokencymbal	Broken Cymbal	Salvage	scrap items/2x1_Broken_Cymbol	2	1	False	None		True	False	True	
