prefab	client	worker
AirspeedIndicator	yes	yes
AllianceRadio01	yes	yes
Altimeter	yes	yes
AncientRespawner	yes	yes
AncientRespawnerDouble	yes	yes
AncientRespawnerPoolWarmer	yes	yes
AncientRespawnerTriple	yes	yes
ArtificialHorizon	yes	yes
Bag	yes	yes
BarPipe	yes	yes
BarPipeBent	yes	yes
Barrel01	yes	yes
BasicCreatureSpawner	yes	yes
Beetle	yes	yes
BeetleEgg	yes	yes
BigCall	yes	yes
Blight	yes	yes
Bomb	yes	yes
BombEquip	yes	yes
BossaFlag	yes	yes
Campfire	yes	yes
CampfireEquip	yes	yes
CannonBall01	yes	yes
ChairMarauder01	yes	yes
ChairMetal01	yes	yes
ChairMetal02	yes	yes
ChairWood01	yes	yes
ChestEquip	yes	yes
ContainerLarge	yes	yes
ContainerMedium	yes	yes
ContainerMount	yes	yes
ContainerSmall	yes	yes
ControlButton	yes	yes
ControlLever	yes	yes
CoreAirfilter	yes	yes
CoreAtlasEnhancer	yes	yes
CoreCircuitryNetwork	yes	yes
CoreComputer	yes	yes
CoreCoolantSystem	yes	yes
CoreEfficiencyModule	yes	yes
CoreGenerator	yes	yes
CoreMain	yes	yes
CoreStabiliser	yes	yes
CraftingStation	yes	yes
CraftingStationEquip	yes	yes
CrowsNest	yes	yes
CrowsNest_wood	yes	yes
Cupboard	yes	yes
DataBank_001	yes	yes
DataBank_002	yes	yes
DataBank_003	yes	yes
Deck01	yes	yes
DesertPod	yes	yes
DesertPodB	yes	yes
DiscoWhale	yes	yes
Egg	yes	yes
EggHolder	yes	yes
EmptySpaceQuery	yes	yes
FigureHeadFounder01	yes	yes
FigureHeadKioki01	yes	yes
FigureHeadKioki02	yes	yes
FigureHeadPekoe01	yes	yes
FigureHeadPekoe02	yes	yes
FigureHeadPioneer01	yes	yes
FigureHeadSaborian01	yes	yes
FigureHeadSaborian02	yes	yes
FlagFounder01	yes	yes
FlagFounder02	yes	yes
Flock	yes	yes
FlowerPodFireJelly	yes	yes
FlowerPodJelly	yes	yes
FuelDeposit	yes	yes
FuelEggSpawnerEquip	yes	yes
FuelExtractor	yes	yes
FuelGauge	yes	yes
GabenFlag	yes	yes
GlobalEntity	yes	yes
Guitar	yes	yes
HarvestableRock	yes	yes
HavenAncientRespawner	yes	yes
HavenRuinedShipRespawner	yes	yes
HeadingIndicator	yes	yes
Helm01	yes	yes
HelmFounder01	yes	yes
Horn01	yes	yes
ImprobableFlag	yes	yes
IslandProxy@Island	yes	yes
Jack_O_Lantern01	yes	yes
JellyFish	yes	yes
KiokiRevivalChamberA	yes	yes
KiokiRevivalChamberB	yes	yes
Lamp01	yes	yes
LampChristmas01	yes	yes
LampKioki01	yes	yes
LampMarauder01	yes	yes
LampPekoe01	yes	yes
LampSaborian01	yes	yes
LanternPioneer01	yes	yes
Lifter	yes	yes
LifterEquip	yes	yes
Lock	yes	yes
LockEquip	yes	yes
Loom01	yes	yes
LootChest_001	yes	yes
LootChest_Kioki	yes	yes
LootContainer_001	yes	yes
LootContainer_002	yes	yes
LootContainer_003	yes	yes
LootContainer_Kioki_01	yes	yes
LootContainer_Kioki_02	yes	yes
LootContainer_Kioki_03	yes	yes
LootRuinPile1	yes	yes
LootRuinPile10	yes	yes
LootRuinPile11	yes	yes
LootRuinPile12	yes	yes
LootRuinPile13	yes	yes
LootRuinPile14	yes	yes
LootRuinPile15	yes	yes
LootRuinPile16	yes	yes
LootRuinPile17	yes	yes
LootRuinPile18	yes	yes
LootRuinPile19	yes	yes
LootRuinPile2	yes	yes
LootRuinPile20	yes	yes
LootRuinPile21	yes	yes
LootRuinPile22	yes	yes
LootRuinPile23	yes	yes
LootRuinPile24	yes	yes
LootRuinPile3	yes	yes
LootRuinPile4	yes	yes
LootRuinPile5	yes	yes
LootRuinPile6	yes	yes
LootRuinPile7	yes	yes
LootRuinPile8	yes	yes
LootRuinPile9	yes	yes
LootRuinPileKioki01	yes	yes
LootRuinPileKioki02	yes	yes
LootRuinPileKioki03	yes	yes
LootRuinPileKioki04	yes	yes
LootRuinPileKioki05	yes	yes
LootRuinPileKioki06	yes	yes
LootRuinPileKioki07	yes	yes
LootRuinPileKioki08	yes	yes
LootRuinPileKioki09	yes	yes
LootRuinPileKioki10	yes	yes
LootRuinPileKioki11	yes	yes
LootRuinPileKioki12	yes	yes
MakeshiftStorage	yes	yes
MantaRay	yes	yes
MantaRayEgg	yes	yes
MantaRay_Egg	yes	yes
MarauderCompass	yes	yes
MarauderCompassEquip	yes	yes
MarauderGuitar	yes	yes
MarauderMask01	yes	yes
MarauderMask02	yes	yes
MetalDepositAtlas	yes	yes
MetalDepositBoulder	yes	yes
MetalDepositCore	yes	yes
MetalDepositCrust	yes	yes
MetalDepositScrap	yes	yes
MetalNugget	yes	yes
MetalScrap_Crushed_Wheel	yes	yes
MetalScrap_Nugget_01	yes	yes
MetalScrap_Nugget_02	yes	yes
MetalScrap_Nugget_03	yes	yes
MetalScrap_Nugget_05	yes	yes
MetalScrap_Nugget_06	yes	yes
MetalScrap_Sheet_Twist_01	yes	yes
MetalScrap_Sheet_Twist_02	yes	yes
MetalScrap_Sheet_Twist_03	yes	yes
MetalScrap_Sheet_Twist_04	yes	yes
MetalScrap_Tesla_02	yes	yes
MiscPlayerFood	yes	yes
ModalErrorPopup	yes	yes
ModalErrorPopup@Player	yes	yes
ModularCannon	yes	yes
ModularEngine	yes	yes
ModularSwivelGun	yes	yes
ModularWing	yes	yes
NailAndGearFlag	yes	yes
Ocarina	yes	yes
Panel01	yes	yes
Panel02	yes	yes
Panel03	yes	yes
Patrol	yes	yes
PersistentLocation	yes	yes
PhotoCamera	yes	yes
PictureFrame01	yes	yes
PictureFrame02	yes	yes
PictureFrame03	yes	yes
PirateFlag	yes	yes
Pistol	yes	yes
PistolPioneer01	yes	yes
PlaqueFounder01	yes	yes
PowerGenerator01	yes	yes
RailingCorner	yes	yes
RailingStraight	yes	yes
ReferenceData	yes	yes
Respawner01	yes	yes
RockSpawnerEquip	yes	yes
Sail01	yes	yes
SailFounder01	yes	yes
ScannableRuin	yes	yes
SeedPodJelly	yes	yes
ShelfMetal01	yes	yes
ShelfWood01	yes	yes
ShipFrame	yes	yes
ShipFrame01	yes	yes
ShipFrame02	yes	yes
ShipFrameGhost	yes	yes
Shipyard	yes	yes
ShipyardEquip	yes	yes
Spectator	yes	yes
Spectator@Player	yes	yes
Stairs1	yes	yes
StoolMarauder01	yes	yes
StoolMetal01	yes	yes
StoolWood01	yes	yes
StoolWood02	yes	yes
StoolWood03	yes	yes
Stove01	yes	yes
TableMarauder	yes	yes
TableMetal01	yes	yes
TableMetal02	yes	yes
TableWood01	yes	yes
TableWood02	yes	yes
TeleportHelper	yes	yes
TerritoryControlBeacon	yes	yes
TerritoryControlBeaconEquip	yes	yes
TestCube	yes	yes
TestCubeScaled	yes	yes
TimeKeeper	yes	yes
Torch	yes	yes
Traveller	yes	yes
Traveller@Player	yes	yes
Tree	yes	yes
