# [Require] map for prefab root: Helm01_unityclient

class	enabled	require_type	component	componentId
FixedUpdateTransformNature	1	-		
ComponentMaterialColors	1	-		
JointDamageVisualizer	0	DetachFromParentWhenUnderHealthThresholdStateReader	DetachFromParentWhenUnderHealthThresholdState	1235
JointDamageVisualizer	0	ShipPartStateReader	ShipPartState	1120
ShipPartVisualizer	0	ShipRootState.Reader	ShipRootState	8066
ShipPartVisualizer	0	ShipPartStateReader	ShipPartState	1120
ShipPartVisualizer	0	TransformStateReader	TransformState	190602
ShipPartVisualizer	0	TransformHierarchyStateReader	TransformHierarchyState	190601
ShipPartVisualizer	0	ItemHealthStateReader	ItemHealthState	1016
ShipPartVisualizer	0	CraftableSpawningStateReader	CraftableSpawningState	1013
DetachFromParentWhenUnderHealthThresholdVisualizer	0	DetachFromParentWhenUnderHealthThresholdStateReader	DetachFromParentWhenUnderHealthThresholdState	1235
ParentingMassAdderVisualizer	0	ParentingMassAdderStateReader	ParentingMassAdderState	1257
LightningStrikableVisualizer	0	LightningStrikableStateReader	LightningStrikableState	1225
ShipPartShipyardInformationVisualizer	0	ShipPartStateReader	ShipPartState	1120
ShipPartShipyardInformationVisualizer	0	OriginalMassStateReader	OriginalMassState	1121
CraftableSpawningVisualizer	0	CraftableSpawningStateReader	CraftableSpawningState	1013
CraftedItemMaterialVisualizer	0	SalvageAndRepairStateReader	SalvageAndRepairState	1099
RigidbodyCollisionVisualizer	0	RigidbodyCollisionReporterStateReader	RigidbodyCollisionReporterState	1232
SalvageableItemVisualiser	0	ItemHealthStateReader	ItemHealthState	1016
DissolvableEntity	1	-		
NormalizedItemHealthVisualizer	0	ItemHealthNormalizedStateReader	ItemHealthNormalizedState	1450
ComponentMaterialProperties	1	-		
ComponentDamage	1	-		
DeteriorateVisualizerClient	0	DeteriorateStateReader	DeteriorateState	4333
ShipImposterEntity	1	-		
EntityLoadedVerifier	0	GlobalTransformState.Reader	GlobalTransformState	190604
ClientColliderCulling	1	-		
PlacementRules	1	-		
TransformOffsetsRegistry	1	-		
TransformParentHierarchyBehaviour	0	TransformHierarchyStateReader	TransformHierarchyState	190601
RelativeParentTransformChildHierarchyBehaviour	0	-		
TransformManageRigidbodyBehaviour	0	TransformStateReader	TransformState	190602
FixedUpdateLerpGlobalTransformBehaviour	0	-		
