# [Require] map for prefab root: Traveller@Player_unityclient

class	enabled	require_type	component	componentId
LocalPlayerInit	0	PlayerNameReader	PlayerName	1086
CharacterCustomisationVisualizer	0	InventoryStateReader	InventoryState	1081
CharacterCustomisationVisualizer	0	PlayerPropertiesStateReader	PlayerPropertiesState	1088
LeftArmAiming	0	HealthStateReader	HealthState	1160
CameraLinkVisualizer	1	-		
RigidbodyBehaviour	1	-		
PlayerCameraSubModeSwitch	1	-		
ImpactObserver	0	ImpactStateWriter	ImpactState	1078
CharacterRigSwitch	1	-		
InputBehaviour	1	-		
PlayerInputSetup	1	-		
WindControlRegistration	1	-		
BouyantPlayer	1	-		
QuestGivingManager	1	-		
ComponentMaterialProperties	1	-		
PlayerLookingAt	1	-		
ClientAuthoritativePlayerMovement	0	ClientAuthoritativePlayerState.Writer	ClientAuthoritativePlayerState	1073
ClientAuthoritativePlayerMovement	0	TransformStateReader	TransformState	190602
GearWearablesVisualizer	0	InventoryState.Reader	InventoryState	1081
GearWearablesVisualizer	0	WearableUtilsState.Reader	WearableUtilsState	1280
LeftArmAimingVisualizer	0	InteractAgentStateReader	InteractAgentState	1211
LeftArmAimingVisualizer	0	InteractAgentServerStateReader	InteractAgentServerState	1212
TeleportTransformVisualizer	0	TransformStateReader	TransformState	190602
TeleportTransformVisualizer	0	ClientAuthoritativePlayerState.Writer	ClientAuthoritativePlayerState	1073
TeleportTransformVisualizer	0	TeleportRequestStateReader	TeleportRequestState	190607
TreeCuttingBehaviour	0	TreeCutterStateWriter	TreeCutterState	1037
PlayerNameVisualizer	0	PlayerNameReader	PlayerName	1086
PlayerNameVisualizer	0	AllianceNameState.Reader	AllianceNameState	6924
PlayerNameVisualizer	0	AllianceAndCrewWorkerState.Reader	AllianceAndCrewWorkerState	6925
PlayerMultitoolVisualizer	0	HealthStateReader	HealthState	1160
PlayerMultitoolVisualizer	0	MultiToolPlayerStateWriter	MultiToolPlayerState	2105
PlayerMultitoolVisualizer	0	MultitoolSalvagerStateWriter	MultitoolSalvagerState	2106
PlayerMultitoolVisualizer	0	MultitoolRepairerStateWriter	MultitoolRepairerState	2002
PlayerEquipmentVisualizer	0	InteractAgentStateReader	InteractAgentState	1211
PlayerEquipmentVisualizer	0	InventoryModificationStateReader	InventoryModificationState	1082
ScanningAgentVisualizer	0	KnowledgeServerStateReader	KnowledgeServerState	1332
ScanningAgentVisualizer	0	KnowledgeClientStateWriter	KnowledgeClientState	1334
PlayerScannerToolVisualizer	0	ScannerToolPlayerStateWriter	ScannerToolPlayerState	2107
PlayerScannerToolVisualizer	0	KnowledgeServerStateReader	KnowledgeServerState	1332
