,Material,Quality,Cannon Shots,Large Panel Kg,Kg Per Shot
,Aluminum,1,,10.4,#DIV/0!,Early Access 0.2.2.1
,Aluminum,2,,10.4,#DIV/0!,In-Progress
,Aluminum,3,,10.4,#DIV/0!,New patch is weird.
,Aluminum,4,,10.4,#DIV/0!
,Aluminum,5,,10.4,#DIV/0!
,Aluminum,6,,10.4,#DIV/0!
,Aluminum,7,,10.4,#DIV/0!
,Aluminum,8,,10.4,#DIV/0!
,Aluminum,9,,10.4,#DIV/0!
,Aluminum,10,,10.4,#DIV/0!
,Bronze,1,,16.8,#DIV/0!
,Bronze,2,,16.8,#DIV/0!
,Bronze,3,,16.8,#DIV/0!
,Bronze,4,,16.8,#DIV/0!
,Bronze,5,,16.8,#DIV/0!
,Bronze,6,12,16.8,1.4
,Bronze,7,,16.8,#DIV/0!
,Bronze,8,,16.8,#DIV/0!
,Bronze,9,,16.8,#DIV/0!
,Bronze,10,,16.8,#DIV/0!
,Copper,1,,20,#DIV/0!
,Copper,2,,20,#DIV/0!
,Copper,3,,20,#DIV/0!
,Copper,4,12,20,1.67
,Copper,5,,20,#DIV/0!
,Copper,6,,20,#DIV/0!
,Copper,7,,20,#DIV/0!
,Copper,8,,20,#DIV/0!
,Copper,9,,20,#DIV/0!
,Copper,10,,20,#DIV/0!
,Gold,1,,27.6,#DIV/0!
,Gold,2,,27.6,#DIV/0!
,Gold,3,,27.6,#DIV/0!
,Gold,4,,27.6,#DIV/0!
,Gold,5,,27.6,#DIV/0!
,Gold,6,,27.6,#DIV/0!
,Gold,7,,27.6,#DIV/0!
,Gold,8,,27.6,#DIV/0!
,Gold,9,,27.6,#DIV/0!
,Gold,10,,27.6,#DIV/0!
,Iron,1,,15.2,#DIV/0!
,Iron,2,,15.2,#DIV/0!
,Iron,3,,15.2,#DIV/0!
,Iron,4,12,15.2,1.27
,Iron,5,12,15.2,1.27
,Iron,6,,15.2,#DIV/0!
,Iron,7,,15.2,#DIV/0!
,Iron,8,14,15.2,1.09
,Iron,9,,15.2,#DIV/0!
,Iron,10,,15.2,#DIV/0!
,Lead,1,,24,#DIV/0!
,Lead,2,,24,#DIV/0!
,Lead,3,,24,#DIV/0!
,Lead,4,11,24,2.18
,Lead,5,,24,#DIV/0!
,Lead,6,,24,#DIV/0!
,Lead,7,,24,#DIV/0!
,Lead,8,,24,#DIV/0!
,Lead,9,,24,#DIV/0!
,Lead,10,,24,#DIV/0!
,Nickel,1,,18.4,#DIV/0!
,Nickel,2,,18.4,#DIV/0!
,Nickel,3,12,18.4,1.53
,Nickel,4,,18.4,#DIV/0!
,Nickel,5,,18.4,#DIV/0!
,Nickel,6,,18.4,#DIV/0!
,Nickel,7,,18.4,#DIV/0!
,Nickel,8,,18.4,#DIV/0!
,Nickel,9,,18.4,#DIV/0!
,Nickel,10,,18.4,#DIV/0!
,Silver,1,,22,#DIV/0!
,Silver,2,,22,#DIV/0!
,Silver,3,,22,#DIV/0!
,Silver,4,,22,#DIV/0!
,Silver,5,,22,#DIV/0!
,Silver,6,,22,#DIV/0!
,Silver,7,,22,#DIV/0!
,Silver,8,,22,#DIV/0!
,Silver,9,,22,#DIV/0!
,Silver,10,,22,#DIV/0!
,Steel,1,,16,#DIV/0!
,Steel,2,,16,#DIV/0!
,Steel,3,,16,#DIV/0!
,Steel,4,,16,#DIV/0!
,Steel,5,15,16,1.07
,Steel,6,,16,#DIV/0!
,Steel,7,,16,#DIV/0!
,Steel,8,14,16,1.14
,Steel,9,,16,#DIV/0!
,Steel,10,,16,#DIV/0!
,Tin,1,,13.6,#DIV/0!
,Tin,2,12,13.6,1.13
,Tin,3,,13.6,#DIV/0!
,Tin,4,,13.6,#DIV/0!
,Tin,5,,13.6,#DIV/0!
,Tin,6,,13.6,#DIV/0!
,Tin,7,,13.6,#DIV/0!
,Tin,8,,13.6,#DIV/0!
,Tin,9,,13.6,#DIV/0!
,Tin,10,,13.6,#DIV/0!
,Titanium,1,,12,#DIV/0!
,Titanium,2,,12,#DIV/0!
,Titanium,3,,12,#DIV/0!
,Titanium,4,,12,#DIV/0!
,Titanium,5,,12,#DIV/0!
,Titanium,6,,12,#DIV/0!
,Titanium,7,,12,#DIV/0!
,Titanium,8,,12,#DIV/0!
,Titanium,9,,12,#DIV/0!
,Titanium,10,15,12,0.8
,Tungsten,1,,32,#DIV/0!
,Tungsten,2,,32,#DIV/0!
,Tungsten,3,,32,#DIV/0!
,Tungsten,4,,32,#DIV/0!
,Tungsten,5,,32,#DIV/0!
,Tungsten,6,,32,#DIV/0!
,Tungsten,7,,32,#DIV/0!
,Tungsten,8,,32,#DIV/0!
,Tungsten,9,,32,#DIV/0!
,Tungsten,10,,32,#DIV/0!

,Hemlock,1,,6.8,#DIV/0!
,Hemlock,2,,6.8,#DIV/0!
,Hemlock,3,,6.8,#DIV/0!
,Hemlock,4,,6.8,#DIV/0!
,Hemlock,5,,6.8,#DIV/0!
,Hemlock,6,,6.8,#DIV/0!
,Hemlock,7,,6.8,#DIV/0!
,Hemlock,8,,6.8,#DIV/0!
,Hemlock,9,,6.8,#DIV/0!
,Hemlock,10,,6.8,#DIV/0!
,Cedar,1,,6,#DIV/0!
,Cedar,2,,6,#DIV/0!
,Cedar,3,,6,#DIV/0!
,Cedar,4,,6,#DIV/0!
,Cedar,5,,6,#DIV/0!
,Cedar,6,10,6,0.6
,Cedar,7,,6,#DIV/0!
,Cedar,8,,6,#DIV/0!
,Cedar,9,,6,#DIV/0!
,Cedar,10,,6,#DIV/0!
,Birch,1,,9.6,#DIV/0!
,Birch,2,,9.6,#DIV/0!
,Birch,3,,9.6,#DIV/0!
,Birch,4,,9.6,#DIV/0!
,Birch,5,,9.6,#DIV/0!
,Birch,6,12,9.6,0.8
,Birch,7,,9.6,#DIV/0!
,Birch,8,,9.6,#DIV/0!
,Birch,9,,9.6,#DIV/0!
,Birch,10,,9.6,#DIV/0!
,Elm,1,,8.8,#DIV/0!
,Elm,2,,8.8,#DIV/0!
,Elm,3,,8.8,#DIV/0!
,Elm,4,,8.8,#DIV/0!
,Elm,5,,8.8,#DIV/0!
,Elm,6,,8.8,#DIV/0!
,Elm,7,,8.8,#DIV/0!
,Elm,8,,8.8,#DIV/0!
,Elm,9,,8.8,#DIV/0!
,Elm,10,,8.8,#DIV/0!
,Oak,1,,11.2,#DIV/0!
,Oak,2,,11.2,#DIV/0!
,Oak,3,,11.2,#DIV/0!
,Oak,4,,11.2,#DIV/0!
,Oak,5,,11.2,#DIV/0!
,Oak,6,,11.2,#DIV/0!
,Oak,7,,11.2,#DIV/0!
,Oak,8,,11.2,#DIV/0!
,Oak,9,,11.2,#DIV/0!
,Oak,10,,11.2,#DIV/0!
,Ash,1,,10.4,#DIV/0!
,Ash,2,,10.4,#DIV/0!
,Ash,3,,10.4,#DIV/0!
,Ash,4,,10.4,#DIV/0!
,Ash,5,,10.4,#DIV/0!
,Ash,6,,10.4,#DIV/0!
,Ash,7,,10.4,#DIV/0!
,Ash,8,,10.4,#DIV/0!
,Ash,9,,10.4,#DIV/0!
,Ash,10,,10.4,#DIV/0!
,Palm,1,,,#DIV/0!
,Palm,2,,,#DIV/0!
,Palm,3,,,#DIV/0!
,Palm,4,,,#DIV/0!
,Palm,5,,,#DIV/0!
,Palm,6,,,#DIV/0!
,Palm,7,,,#DIV/0!
,Palm,8,,,#DIV/0!
,Palm,9,,,#DIV/0!
,Palm,10,,,#DIV/0!
,Chestnut,1,,7.6,#DIV/0!
,Chestnut,2,,7.6,#DIV/0!
,Chestnut,3,,7.6,#DIV/0!
,Chestnut,4,,7.6,#DIV/0!
,Chestnut,5,,7.6,#DIV/0!
,Chestnut,6,,7.6,#DIV/0!
,Chestnut,7,,7.6,#DIV/0!
,Chestnut,8,,7.6,#DIV/0!
,Chestnut,9,,7.6,#DIV/0!
,Chestnut,10,,7.6,#DIV/0!
