,Material,Quality,Cannon Shots,Large Panel Kg,Kg Per Shot
,Aluminum,1,,10.4,=ROUND(E2/D2;2),Early Access 0.2.2.1
,Aluminum,2,,10.4,=ROUND(E3/D3;2),In-Progress
,Aluminum,3,,10.4,=ROUND(E4/D4;2),New patch is weird.
,Aluminum,4,,10.4,=ROUND(E5/D5;2)
,Aluminum,5,,10.4,=ROUND(E6/D6;2)
,Aluminum,6,,10.4,=ROUND(E7/D7;2)
,Aluminum,7,,10.4,=ROUND(E8/D8;2)
,Aluminum,8,,10.4,=ROUND(E9/D9;2)
,Aluminum,9,,10.4,=ROUND(E10/D10;2)
,Aluminum,10,,10.4,=ROUND(E11/D11;2)
,Bronze,1,,16.8,=ROUND(E12/D12;2)
,Bronze,2,,16.8,=ROUND(E13/D13;2)
,Bronze,3,,16.8,=ROUND(E14/D14;2)
,Bronze,4,,16.8,=ROUND(E15/D15;2)
,Bronze,5,,16.8,=ROUND(E16/D16;2)
,Bronze,6,12,16.8,=ROUND(E17/D17;2)
,Bronze,7,,16.8,=ROUND(E18/D18;2)
,Bronze,8,,16.8,=ROUND(E19/D19;2)
,Bronze,9,,16.8,=ROUND(E20/D20;2)
,Bronze,10,,16.8,=ROUND(E21/D21;2)
,Copper,1,,20,=ROUND(E22/D22;2)
,Copper,2,,20,=ROUND(E23/D23;2)
,Copper,3,,20,=ROUND(E24/D24;2)
,Copper,4,12,20,=ROUND(E25/D25;2)
,Copper,5,,20,=ROUND(E26/D26;2)
,Copper,6,,20,=ROUND(E27/D27;2)
,Copper,7,,20,=ROUND(E28/D28;2)
,Copper,8,,20,=ROUND(E29/D29;2)
,Copper,9,,20,=ROUND(E30/D30;2)
,Copper,10,,20,=ROUND(E31/D31;2)
,Gold,1,,27.6,=ROUND(E32/D32;2)
,Gold,2,,27.6,=ROUND(E33/D33;2)
,Gold,3,,27.6,=ROUND(E34/D34;2)
,Gold,4,,27.6,=ROUND(E35/D35;2)
,Gold,5,,27.6,=ROUND(E36/D36;2)
,Gold,6,,27.6,=ROUND(E37/D37;2)
,Gold,7,,27.6,=ROUND(E38/D38;2)
,Gold,8,,27.6,=ROUND(E39/D39;2)
,Gold,9,,27.6,=ROUND(E40/D40;2)
,Gold,10,,27.6,=ROUND(E41/D41;2)
,Iron,1,,15.2,=ROUND(E42/D42;2)
,Iron,2,,15.2,=ROUND(E43/D43;2)
,Iron,3,,15.2,=ROUND(E44/D44;2)
,Iron,4,12,15.2,=ROUND(E45/D45;2)
,Iron,5,12,15.2,=ROUND(E46/D46;2)
,Iron,6,,15.2,=ROUND(E47/D47;2)
,Iron,7,,15.2,=ROUND(E48/D48;2)
,Iron,8,14,15.2,=ROUND(E49/D49;2)
,Iron,9,,15.2,=ROUND(E50/D50;2)
,Iron,10,,15.2,=ROUND(E51/D51;2)
,Lead,1,,24,=ROUND(E52/D52;2)
,Lead,2,,24,=ROUND(E53/D53;2)
