

,Squareframe,w,1,Rustbucket,w,-1,A,w,0
,Scraphead,m,1,Crudbait,w,9,B,m,0
,Piped,w,1,Smokie,w,14,E,w,0
,Boxpile,w,1,Cranker,w,19,F,m,0
,Trishell,w,2,Workhorse,w,27,H,m,0
,Spark,w,2,Steamer,m,-1,M,m,0
,Spinshaft,w,2,Populus,m,9,N,m,0
,Reliant,w,2,Rival,m,14,O,w,0
,Ventilated,w,2,Pacesetter,m,19,U,w,0
,Stallion,m,3,Cyclone,m,24,X,m,0
,Iceberg,m,3,Tornado,m,29,Z,m,0
,Dervish,m,3,Hurricane,m,35
,Pinnacle,m,3,Elite,m,39
,Godfellow,m,4,Supreme,m,44
,Sunstream,m,4,Cloudchaser,m,51
,Apotheus,m,4,Starcaster,m,60
,Ironforge,m,4
