Wing,,,,,Casing:,Bronze,,,,Casing:,Bronze,,,,Casing:,Bronze,,,,Casing:,Bronze
Materials:,,, ,,Aileron:,Bronze,,,,Aileron:,Bronze,,,,Aileron:,Bronze,,,,Aileron:,Bronze
Casing:,135,,,,Mechanical Internals:,Aluminium,,,,Mechanical Internals:,Iron,,,,Mechanical Internals:,Nickel,,,,Mechanical Internals:,Lead
Aileron,83
Mechanical Internals:,80,,,,Power:,65,,,,Power:,51,,,,Power:,55,,,,Power:,59
,,,,,Pivot Speed:,60,,,,Pivot Speed:,60,,,,Pivot Speed:,60,,,,Pivot Speed:,59
Base Stats,,,,,Weight:,14 kg,,,,Weight:,21 kg,,,,Weight:,26 kg,,,,Weight:,34 kg
Resilience:,25
Power:,41
Pivot Speed:,40






,,,,,Casing:,Bronze,,,,Casing:,Bronze,,,,Casing:,Bronze,,,,Casing:,Bronze
,,,,,Aileron:,Bronze,,,,Aileron:,Bronze,,,,Aileron:,Bronze,,,,Aileron:,Bronze
,,,,,Mechanical Internals:,Titanium,,,,Mechanical Internals:,Steel,,,,Mechanical Internals:,Copper,,,,Mechanical Internals:,Gold

,,,,,Power:,51,,,,Power:,56,,,,Power:,52,,,,Power:,53
,,,,,Pivot Speed:,63,,,,Pivot Speed:,65,,,,Pivot Speed:,61,,,,Pivot Speed:,61
,,,,,Weight:,17 kg,,,,Weight:,22 kg,,,,Weight:,28 kg,,,,Weight:,40 kg









,,,,,Casing:,Bronze,,,,Casing:,Bronze,,,,Casing:,Bronze,,,,Casing:,Bronze
,,,,,Aileron:,Bronze,,,,Aileron:,Bronze,,,,Aileron:,Bronze,,,,Aileron:,Bronze
,,,,,Mechanical Internals:,Tin,,,,Mechanical Internals:,Bronze,,,,Mechanical Internals:,Silver,,,,Mechanical Internals:,Tungsten

,,,,,Power:,49,,,,Power:,62,,,,Power:,58,,,,Power:,55
,,,,,Pivot Speed:,59,,,,Pivot Speed:,60,,,,Pivot Speed:,60,,,,Pivot Speed:,63
,,,,,Weight:,19 kg,,,,Weight:,24 kg,,,,Weight:,31 kg,,,,Weight:,42 kg
