,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
1,,Barrel,,,,,Firing Mechanism,,,,,,Ammo Loader,,,,,,,,,
2,,Material,Power,Overheat Limit,Weight,,Material,Power,Overheat Limit,Rate of Fire,Weight,,Material,Rate of Fire,Capacity,Weight,,,,,,
3,,Tin,75.0%,53.8%,0.241 kg,,Tin,28.6%,21.1%,73.1%,0.241 kg,,Tin,45.2%,44.4%,0.241 kg,,,,,,
4,,Bronze,75.0%,53.8%,0.297 kg,,Iron,35.7%,47.4%,73.1%,0.269 kg,,Iron,48.4%,55.6%,0.269 kg,,,,,,
5,,Lead,75.0%,61.5%,0.425 kg,,Titanium,35.7%,26.3%,73.1%,0.213 kg,,Titanium,48.4%,44.4%,0.213 kg,,,,,,
6,,Aluminium,78.5%,53.8%,0.184 kg,,Copper,42.9%,63.2%,69.2%,0.354 kg,,Copper,54.8%,33.3%,0.354 kg,,,,,,
7,,Iron,78.6%,69.2%,0.269 kg,,Gold,50.0%,63.2%,84.6%,0.489 kg,,Gold,61.3%,66.7%,0.489 kg,,,,,,
8,,Nickel,82.1%,61.5%,0.326 kg,,Nickel,57.1%,42.1%,88.5%,0.326 kg,,Nickel,64.5%,77.8%,0.326 kg,,,,,,
9,,Copper,82.1%,76.9%,0.354 kg,,Tungsten,57.1%,100.0%,100.0%,0.524 kg,,Tungsten,64.5%,100.0%,0.524 kg,,,,,,
10,,Silver,85.7%,69.2%,0.390 kg,,Steel,60.7%,36.8%,76.9%,0.283 kg,,Steel,67.7%,55.6%,0.283 kg,,,,,,
11,,Titanium,89.2%,53.8%,0.213 kg,,Silver,67.9%,52.6%,76.9%,0.390 kg,,Silver,74.2%,55.6%,0.390 kg,,,,,,
12,,Gold,92.9%,76.9%,0.489 kg,,Lead,75.0%,42.1%,96.2%,0.425 kg,,Lead,80.6%,88.9%,0.425 kg,,,,,,
13,,Tungsten,97.5%,100.0%,0.524 kg,,Bronze,89.3%,21.1%,69.2%,0.297 kg,,Bronze,90.3%,44.4%,0.298 kg,,,,,,
