,Combustion Internals,,,,,,,,,,Propeller,,,,,,
,Material,Power,,Fuel Efficiency,,Overheat Limit,,Total Increase,Mass Efficiency,,Material,Power,,Spin Up,,Total Increase,Mass Efficiency
,Aluminium,0.286,0.25,0.6364,0.292,1.0,0.265,0.268,0.894,,Titanium,0.429,0.125,0.528,0.404,0.31,0.885
,Tin,0.286,0.25,0.6364,0.292,0.444,0.118,0.207,0.518,,Tin,0.429,0.125,0.528,0.404,0.31,0.775
,Bronze,0.286,0.25,0.7273,0.333,0.889,0.235,0.268,0.548,,Iron,0.429,0.125,0.583,0.447,0.338,0.751
,Titanium,0.333,0.292,0.8182,0.375,0.444,0.118,0.244,0.697,,Copper,0.429,0.125,0.444,0.34,0.268,0.454
,Steel,0.381,0.333,1.0,0.458,0.667,0.176,0.305,0.649,,Steel,0.571,0.167,0.639,0.489,0.38,0.809
,Nickel,0.429,0.375,0.7273,0.333,0.667,0.176,0.28,0.519,,Nickel,0.571,0.167,0.806,0.617,0.465,0.861
,Lead,0.476,0.417,0.6364,0.292,0.778,0.206,0.293,0.412,,Gold,0.571,0.167,0.722,0.553,0.423,0.522
,Iron,0.524,0.458,0.6364,0.292,0.444,0.118,0.268,0.596,,Tungsten,0.571,0.167,1.0,0.766,0.563,0.648
,Silver,0.571,0.5,0.7273,0.333,0.778,0.206,0.329,0.507,,Silver,0.714,0.208,0.639,0.489,0.394,0.607
,Copper,0.619,0.542,0.7273,0.333,0.556,0.147,0.317,0.537,,Lead,0.714,0.208,0.944,0.723,0.549,0.785
,Gold,0.667,0.583,0.8182,0.375,0.556,0.147,0.341,0.422,,Bronze,0.857,0.25,0.472,0.362,0.324,0.661
,Tungsten,1.0,0.875,0.8182,0.375,0.667,0.176,0.439,0.505,,Aluminium,1.0,0.292,0.472,0.362,0.338,1.09
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Mechanical Internals,,,,,,,,,,Engine Materials Sheet,,,,,,
,Material,Fuel Efficiency,,Spin Up,,Overheat Limit,,Total Increase,Mass Efficiency,,Worlds Adrift Closed Beta 0.1.3.3,,,,,,
,Tin,0.4,0.25,0.579,0.234,0.2667,0.235,0.238,0.992,,,,,,,,
,Lead,0.4,0.25,0.842,0.34,0.4667,0.412,0.343,0.816,,made by Gouki (Morrow#9503),,,,,,
,Aluminium,0.467,0.292,1.0,0.404,0.2667,0.235,0.324,1.799,,based on Fallout's Cannon Materials Sheet,,,,,,
,Iron,0.467,0.292,0.632,0.255,0.5333,0.471,0.333,1.235,,https://docs.google.com/spreadsheets/d/1cUHxiOTPgDWxLzJOLGpnrfjLxQUY-MnqEGsn58QDdfg/edit?usp=sharing,,,,,,
,Bronze,0.533,0.333,0.895,0.362,0.2667,0.235,0.314,1.084,,,,,,,,
,Nickel,0.533,0.333,0.737,0.298,0.4333,0.382,0.333,1.042,,All engines were crafted with the same quality material to keep the results consistent.,,,,,,
,Silver,0.533,0.333,0.789,0.319,0.5667,0.5,0.381,1.003,,The best performing material of each attribute in each slot was then identified and all other materials in that attribute put into relation with it.,,,,,,
,Copper,0.6,0.375,0.632,0.255,0.6333,0.559,0.381,1.088,,"Example: Tungsten performed best for power in Combustion Internals with a resulting engine with 45 power, in comparison steel created an engine with 32 power.",,,,,,
,Gold,0.667,0.417,0.684,0.277,0.6667,0.588,0.41,0.853,,Substracting the base power of the engine (24) that leaves tungsten with 21 added power and steel with 8.,,,,,,
,Titanium,0.733,0.458,0.632,0.255,0.3333,0.294,0.314,1.497,,Tungsten's 21 added power being 100% makes steel's added power in relation 38.1% (rounded).,,,,,,
,Tungsten,0.733,0.458,0.737,0.298,1.0,0.882,0.524,1.007,,Base stats are substracted to increase the scalability of the results with engines other than the one used in testing.,,,,,,
,Steel,1.0,0.625,0.789,0.319,0.4,0.353,0.4,1.429,,,,,,,,
,,,,,,,,,,,Wing Materials Sheet,,,,,,
,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1gC2QtSINylJelrvFVG37HzfOFpBlyITBOyZteGfZDkI/edit?usp=sharing,,,,,,
,Casing,,,,,,,,,,,,,,,,
,Material,Health,,Mass Efficiency,,,,,,,,,,,,,
,Copper,0.667,,0.185,,,,,,,,,,,,,
,Aluminium,0.694,,0.241,,,,,,,,,,,,,
,Bronze,0.694,,0.206,,,,,,,,,,,,,
,Tin,0.722,,0.231,,,,,,,,,,,,,
,Titanium,0.722,,0.241,,,,,,,,,,,,,
,Iron,0.75,,0.231,,,,,,,,,,,,,
,Silver,0.778,,0.207,,,,,,,,,,,,,
,Steel,0.778,,0.235,,,,,,,,,,,,,
,Gold,0.833,,0.199,,,,,,,,,,,,,
,Nickel,0.889,,0.255,,,,,,,,,,,,,
,Lead,0.972,,0.248,,,,,,,,,,,,,
,Tungsten,1.0,,0.23,,,,,,,,,,,,,
