,Combustion Internals,,,,,,,,,,Propeller,,,,,,
,Material,Power,,Fuel Efficiency,,Overheat Limit,,Total Increase,Mass Efficiency,,Material,Power,,Spin Up,,Total Increase,Mass Efficiency
,Aluminium,0.286,=+25%,0.6364,=+29.2%,1.0,=+26.5%,=+26.8%,0.894,,Titanium,0.429,=+12.5%,0.528,=+40.4%,=+31%,0.885
,Tin,0.286,=+25%,0.6364,=+29.2%,0.444,=+11.8%,=+20.7%,0.518,,Tin,0.429,=+12.5%,0.528,=+40.4%,=+31%,0.775
,Bronze,0.286,=+25%,0.7273,=+33.3%,0.889,=+23.5%,=+26.8%,0.548,,Iron,0.429,=+12.5%,0.583,=+44.7%,=+33.8%,0.751
,Titanium,0.333,=+29.2%,0.8182,=+37.5%,0.444,=+11.8%,=+24.4%,0.697,,Copper,0.429,=+12.5%,0.444,=+34%,=+26.8%,0.454
,Steel,0.381,=+33.3%,1.0,=+45.8%,0.667,=+17.6%,=+30.5%,0.649,,Steel,0.571,=+16.7%,0.639,=+48.9%,=+38%,0.809
,Nickel,0.429,=+37.5%,0.7273,=+33.3%,0.667,=+17.6%,=+28%,0.519,,Nickel,0.571,=+16.7%,0.806,=+61.7%,=+46.5%,0.861
,Lead,0.476,=+41.7%,0.6364,=+29.2%,0.778,=+20.6%,=+29.3%,0.412,,Gold,0.571,=+16.7%,0.722,=+55.3%,=+42.3%,0.522
,Iron,0.524,=+45.8%,0.6364,=+29.2%,0.444,=+11.8%,=+26.8%,0.596,,Tungsten,0.571,=+16.7%,1.0,=+76.6%,=+56.3%,0.648
,Silver,0.571,=+50%,0.7273,=+33.3%,0.778,=+20.6%,=+32.9%,0.507,,Silver,0.714,=+20.8%,0.639,=+48.9%,=+39.4%,0.607
,Copper,0.619,=+54.2%,0.7273,=+33.3%,0.556,=+14.7%,=+31.7%,0.537,,Lead,0.714,=+20.8%,0.944,=+72.3%,=+54.9%,0.785
,Gold,0.667,=+58.3%,0.8182,=+37.5%,0.556,=+14.7%,=+34.1%,0.422,,Bronze,0.857,=+25%,0.472,=+36.2%,=+32.4%,0.661
,Tungsten,1.0,=+87.5%,0.8182,=+37.5%,0.667,=+17.6%,=+43.9%,0.505,,Aluminium,1.0,=+29.2%,0.472,=+36.2%,=+33.8%,1.09
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Mechanical Internals,,,,,,,,,,Engine Materials Sheet,,,,,,
,Material,Fuel Efficiency,,Spin Up,,Overheat Limit,,Total Increase,Mass Efficiency,,Worlds Adrift Closed Beta 0.1.3.3,,,,,,
,Tin,0.4,=+25%,0.579,=+23.4%,0.2667,=+23.5%,=+23.8%,0.992,,,,,,,,
,Lead,0.4,=+25%,0.842,=+34%,0.4667,=+41.2%,=+34.3%,0.816,,made by Gouki (Morrow#9503),,,,,,
,Aluminium,0.467,=+29.2%,1.0,=+40.4%,0.2667,=+23.5%,=+32.4%,1.799,,based on Fallout's Cannon Materials Sheet,,,,,,
,Iron,0.467,=+29.2%,0.632,=+25.5%,0.5333,=+47.1%,=+33.3%,1.235,,https://docs.google.com/spreadsheets/d/1cUHxiOTPgDWxLzJOLGpnrfjLxQUY-MnqEGsn58QDdfg/edit?usp=sharing,,,,,,
,Bronze,0.533,=+33.3%,0.895,=+36.2%,0.2667,=+23.5%,=+31.4%,1.084,,,,,,,,
,Nickel,0.533,=+33.3%,0.737,=+29.8%,0.4333,=+38.2%,=+33.3%,1.042,,All engines were crafted with the same quality material to keep the results consistent.,,,,,,
,Silver,0.533,=+33.3%,0.789,=+31.9%,0.5667,=+50%,=+38.1%,1.003,,The best performing material of each attribute in each slot was then identified and all other materials in that attribute put into relation with it.,,,,,,
,Copper,0.6,=+37.5%,0.632,=+25.5%,0.6333,=+55.9%,=+38.1%,1.088,,"Example: Tungsten performed best for power in Combustion Internals with a resulting engine with 45 power, in comparison steel created an engine with 32 power.",,,,,,
,Gold,0.667,=+41.7%,0.684,=+27.7%,0.6667,=+58.8%,=+41%,0.853,,Substracting the base power of the engine (24) that leaves tungsten with 21 added power and steel with 8.,,,,,,
,Titanium,0.733,=+45.8%,0.632,=+25.5%,0.3333,=+29.4%,=+31.4%,1.497,,Tungsten's 21 added power being 100% makes steel's added power in relation 38.1% (rounded).,,,,,,
,Tungsten,0.733,=+45.8%,0.737,=+29.8%,1.0,=+88.2%,=+52.4%,1.007,,Base stats are substracted to increase the scalability of the results with engines other than the one used in testing.,,,,,,
,Steel,1.0,=+62.5%,0.789,=+31.9%,0.4,=+35.3%,=+40%,1.429,,,,,,,,
,,,,,,,,,,,Wing Materials Sheet,,,,,,
,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1gC2QtSINylJelrvFVG37HzfOFpBlyITBOyZteGfZDkI/edit?usp=sharing,,,,,,
,Casing,,,,,,,,,,,,,,,,
,Material,Health,,Mass Efficiency,,,,,,,,,,,,,
,Copper,0.667,,0.185,,,,,,,,,,,,,
,Aluminium,0.694,,0.241,,,,,,,,,,,,,
,Bronze,0.694,,0.206,,,,,,,,,,,,,
,Tin,0.722,,0.231,,,,,,,,,,,,,
,Titanium,0.722,,0.241,,,,,,,,,,,,,
,Iron,0.75,,0.231,,,,,,,,,,,,,
,Silver,0.778,,0.207,,,,,,,,,,,,,
,Steel,0.778,,0.235,,,,,,,,,,,,,
,Gold,0.833,,0.199,,,,,,,,,,,,,
,Nickel,0.889,,0.255,,,,,,,,,,,,,
,Lead,0.972,,0.248,,,,,,,,,,,,,
,Tungsten,1.0,,0.23,,,,,,,,,,,,,
