material,weight,resilience boost,cooling factor,,material,POWER,OVERHEAT LIMIT,SPINUP,,MATERIAL,POWER,OVERHEAT,FUEL EFFICIENCY,,MATERIAL,SPIN UP,FUEL EFFICIENCY,Cooling factor
aluminum,0.33,1.3846,25.0,,aluminum,1.1623,1.0347,1.3898,,aluminum,1.2517,1.0463,1.122,,aluminum,1.1695,1.3708,25.0
titanium,0.35,1.2051,10.0,,titanium,1.2815,1.1157,1.3051,,titanium,1.1921,1.166,1.2012,,titanium,1.1102,1.2927,10.0
tin,0.38,1.2821,45.0,,tin,1.2219,1.0965,1.1864,,tin,1.1126,1.1351,1.1646,,tin,1.1356,1.1707,45.0
iron,0.39,1.3333,25.0,,iron,1.1921,1.1351,1.1864,,iron,1.1126,1.1931,1.1402,,iron,1.525,1.1707,25.0
bronze,0.42,1.2051,30.0,,bronze,1.1921,1.0965,1.2119,,bronze,1.1325,1.1351,1.1402,,bronze,1.1102,1.2012,30.0
nickel,0.43,1.3846,40.0,,nickel,1.3079,1.2124,1.1525,,nickel,1.0927,1.3166,1.2195,,nickel,1.1695,1.1402,40.0
orthite,0.43,1.2821,35.0,,orthite,1.1921,1.0347,1.3051,,orthite,1.1921,1.0463,1.1402,,orthite,1.1271,1.2927,35.0
epilar,0.46,1.4615,35.0,,epilar,1.0728,1.0965,1.3644,,epilar,1.2318,1.1351,1.061,,epilar,1.2119,1.3476,35.0
steel,0.5,1.4615,20.0,,steel,1.1325,1.1931,1.2458,,steel,1.1521,1.2819,1.1037,,steel,1.2119,1.2317,20.0
eternium,0.5,1.6667,10.0,,eternium,1.3113,1.2548,1.1525,,eternium,1.0927,1.3707,1.2195,,eternium,1.2881,1.1402,10.0
copper,0.55,1.513,65.0,,copper,1.043,1.0347,1.0678,,copper,1.0331,1.0463,1.0427,,copper,1.0508,1.0549,65.0
lead,0.56,1.1795,20.0,,lead,1.0728,1.0678,1.1525,,lead,1.0927,1.1042,1.061,,lead,1.932,1.1402,20.0
silver,0.66,1.513,75.0,,silver,1.043,1.0347,1.0678,,silver,1.0331,1.0463,1.0427,,silver,1.0508,1.0549,75.0
tungsten,0.7,1.8974,20.0,,tungsten,1.4603,1.3127,1.4831,,tungsten,1.3113,1.4633,1.3232,,tungsten,1.3729,1.4695,20.0
gold,0.73,1.513,85.0,,gold,1.043,1.0347,1.0678,,gold,1.031,1.0463,1.427,,gold,1.0508,1.0549,85.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,
