star wars fliegende stadt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Material,Unit Weight,Max Lift,KG per Quality,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1 Increase,Q10 Increase
,Titanium,"0,3",20,1,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,"101,10%","102,00%"
,Steel,"0,4",30,"1,5","1016,5",1018,"1019,5",1021,"1022,5",1024,"1025,5",1027,"1028,5",1030,"101,65%","103,00%"
,Lead,"0,6",40,2,1022,1024,1026,1028,1030,1032,1034,1036,1038,1040,"102,20%","104,00%"
,Bronze,"0,42",50,"2,5","1027,5",1030,"1032,5",1035,"1037,5",1040,"1042,5",1045,"1047,5",1050,"102,75%","105,00%"
,Iron,"0,38",61,3,1034,1037,1040,1043,1046,1049,1052,1055,1058,1061,"103,40%","106,10%"
,Tungsten,"0,8",70,"3,5","1038,5",1042,"1045,5",1049,"1052,5",1056,"1059,5",1063,"1066,5",1070,"103,85%","107,00%"
,Nickel,"0,46",80,4,1044,1048,1052,1056,1060,1064,1068,1072,1076,1080,"104,40%","108,00%"
,Tin,"0,34",90,"4,5","1049,5",1054,"1058,5",1063,"1067,5",1072,"1076,5",1081,"1085,5",1090,"104,95%","109,00%"
,Aluminium,"0,26",120,6,1066,1072,1078,1084,1090,1096,1102,1108,1114,1120,"106,60%","112,00%"
,Copper,"0,5",150,"7,5","1082,5",1090,"1097,5",1105,"1112,5",1120,"1127,5",1135,"1142,5",1150,"108,25%","115,00%"
,Silver,"0,55",160,8,1088,1096,1104,1112,1120,1128,1136,1144,1152,1160,"108,80%","116,00%"
,Gold,"0,69",170,"8,5","1093,5",1102,"1110,5",1119,"1127,5",1136,"1144,5",1153,"1161,5",1170,"109,35%","117,00%"
,Atlas Shard,"0,2",,,,,,,,,,,,,,
