,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,METAL,WEIGHT,ENDURANCE*,ENDUR/WEIGHT*,,EXTRA NOTES
,,Aluminum,.26kg,219,21.1,,"Lightest metal ingame, good for ship frames to keep down weight"
,,Titanium,.30kg,213,18.8,,Good durability/weight but not best durability
,,Tin,.34kg,174,12.2,,"Abundant among metals, decent for panels"
,,Iron,.38kg,187,12.3,,"Common and a decent all-rounder, good for early-game ship parts"
,,Steel,.40kg,239,14.9,,"One of the most durable materials, good for casings but bad conductivity"
,,Bronze,.42kg,162,9.6,,"Well-balanced, good for decks/paneling and part casings"
,,Nickel,.46kg,194,10.5,,Heavier than iron but better endurance
,,Copper,.50kg,200,10,,Good conductor. May be more prone to lightning--unconfirmed as of yet
,,Silver,.55kg,181,8.2,,Good conductor and decent all-around. Also shiny so that's pretty cool
,,Lead,.60kg,149,6.2,,Incredibly durable but one of the heaviest metals. Used as scrap for tools
,,Gold,.69kg,168,6.1,,Fantastic condoctor but very heavy. Good all-round
,,Tungsten,.74kg,233,7.3,,"Heaviest metal of them all, but also toughest"
,,Original Resilience Data,,,HOME,,
