By: Ryu_Khan#3747 / Simayi,,,https://discord.gg/5DhwptR,,,,,,,
White fill = tested via salvager,,,,,,,,,,
Grey fill = deduced based on observed trends,,,,,,,,,,
Wood = Work in Progress,,,,,,,,,,
60,,,,,,,,,,
Large Panel - 60 Resilience (Number of Salvage Pulses or Cannon Shots until Large Panel falls off),,,,,,,,,,
Wt (Kg),Metal,Pulses,Salvaged,Falloff (secs),Pulse/Res,Cannon Shot,,,,
16,Steel1,191,30,146.4,3.18,,,,,
16,Steel2,196,30,150.3,3.27,,,,,
16,Steel3,201,30,154.1,3.35,,,,,
16,Steel4,206,30,157.9,3.43,,,,,
16,Steel5,211,30,161.8,3.52,,,,,
16,Steel6,215,30,164.8,3.58,,,,,
16,Steel7,222,30,170.2,3.70,,,,,
16,Steel8,228,30,174.8,3.80,,,,,
16,Steel9,233,30,178.6,3.88,,,,,
16,Steel10,239,30,183.2,3.98,15,,,,
32,Tungsten1,179,30,137.2,2.98,,,,,
32,Tungsten2,185,30,141.8,3.08,,,,,
32,Tungsten3,191,30,146.4,3.18,,,,,
32,Tungsten4,197,30,151.0,3.28,,,,,
32,Tungsten5,203,30,155.6,3.38,,,,,
32,Tungsten6,209,30,160.2,3.48,,,,,
32,Tungsten7,215,30,164.8,3.58,,,,,
32,Tungsten8,221,30,169.4,3.68,,,,,
32,Tungsten9,227,30,174.0,3.78,,,,,
32,Tungsten10,233,30,178.6,3.88,,,,,
10.4,Alum1,177,30,135.7,2.95,,,,,
10.4,Alum2,182,30,139.5,3.03,,,,,
10.4,Alum3,187,30,143.4,3.12,,,,,
10.4,Alum4,192,30,147.2,3.20,,,,,
10.4,Alum5,197,30,151.0,3.28,,,,,
10.4,Alum6,201,30,154.1,3.35,,,,,
10.4,Alum7,206,30,157.9,3.43,,,,,
10.4,Alum8,210,30,161.0,3.50,,,,,
10.4,Alum9,216,30,165.6,3.60,,,,,
10.4,Alum10,219,30,167.9,3.65,14,,,,
12,Titanium1,176,30,134.9,2.93,,,,,
12,Titanium2,179,30,137.2,2.98,,,,,
12,Titanium3,183,30,140.3,3.05,,,,,
12,Titanium4,188,30,144.1,3.13,,,,,
12,Titanium5,193,30,148.0,3.22,,,,,
12,Titanium6,197,30,151.0,3.28,,,,,
12,Titanium7,201,30,154.1,3.35,,,,,
12,Titanium8,204,30,156.4,3.40,,,,,
12,Titanium9,208,30,159.5,3.47,,,,,
12,Titanium10,213,30,163.3,3.55,14,30,106.5,7,15.21428571
20,Copper1,171,30,131.1,2.85,,,,,
20,Copper2,174,30,133.4,2.90,,,,,
20,Copper3,177,30,135.7,2.95,,,,,
20,Copper4,180,30,138.0,3.00,,,,,
20,Copper5,183,30,140.3,3.05,,,,,
20,Copper6,186,30,142.6,3.10,,,,,
20,Copper7,189,30,144.9,3.15,,,,,
20,Copper8,193,30,148.0,3.22,,,,,
20,Copper9,197,30,151.0,3.28,,,,,
20,Copper10,200,30,153.3,3.33,,,,,
18.4,Nickel1,165,30,126.5,2.75,,,,,
18.4,Nickel2,168,30,128.8,2.80,,,,,
18.4,Nickel3,171,30,131.1,2.85,,,,,
18.4,Nickel4,174,30,133.4,2.90,,,,,
18.4,Nickel5,177,30,135.7,2.95,,,,,
18.4,Nickel6,180,30,138.0,3.00,,,,,
18.4,Nickel7,185,30,141.8,3.08,,,,,
18.4,Nickel8,188,30,144.1,3.13,,,,,
18.4,Nickel9,191,30,146.4,3.18,,,,,
18.4,Nickel10,194,30,148.7,3.23,,,,,
