Part Name,Material Type,Tier,Main Stat,Picture,Extra Pictures,Bandages
Piped,Wood,1,Spin Up,Internals,Casing,Bandages
Squareframe,Wood,1,Resilience,Internals,Casing,
Scrapheap,Metal,1,FE/OH,Image,,
Boxpile,Wood,1,Power,Internals,Casing,
Spinshaft,Wood,2,Spin Up,Internals,Casing,
Trishell,Wood,2,Resilience,Internals,Casing,
Reliant,Wood,2,FE,Internals,Casing,
Ventilated,Wood,2,OH,Internals,Casing,
Spark,Wood,2,Power,Internals,Casing,
Dervish,Metal,3,Spin Up,Image,,
Pinnacle,Metal,3,Resilience,Image,,
Iceberg,Metal,3,FE/OH,Image,,
Stallion,Metal,3,Power,Image,,
Godfellow,Metal,4,Spin Up,Image,,
Apotheus,Metal,4,Resilience,Image,,
Sunstream,Metal,4,FE/OH,Image,,
Ironforge,Metal,4,Power,Image,,
Capulca Mk.2,Metal,N/A,N/A,Image,,
