,E,,,,,
,,,,,,
,,,,,,
,ALERION,,,,,
,MATERIAL,POWER,,PIVOT SPEED,,TOTAL INCREASE
,Aluminium,77.78%,31.34%,70.00%,33.33%,32.34%
,Titanium,96.30%,38.81%,50.00%,23.81%,31.31%
,Tin,66.67%,26.87%,80.00%,38.10%,32.48%
,Iron,88.89%,35.82%,35.00%,16.67%,26.24%
,Steel,92.59%,37.31%,40.00%,19.05%,28.18%
,Bronze,81.48%,32.84%,60.00%,28.57%,30.70%
,Nickel,85.19%,34.33%,55.00%,26.19%,30.26%
,Copper,77.78%,31.34%,65.00%,30.95%,31.15%
,Silver,70.37%,28.36%,75.00%,35.71%,32.04%
,Lead,66.67%,26.87%,95.00%,45.24%,36.05%
,Gold,74.07%,29.85%,100.00%,47.62%,38.73%
,Tungsten,100.00%,40.30%,30.00%,14.29%,27.29%
,,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,
,,,,,,
,MECHANICAL INTERNALS,,,,,
,MATERIAL,POWER,,PIVOT SPEED,,TOTAL INCREASE
,Aluminium,71.88%,33.33%,76.47%,31.71%,32.52%
,Titanium,50.00%,23.19%,94.12%,39.02%,31.11%
,Tin,81.25%,37.68%,64.71%,26.83%,32.26%
,Iron,37.50%,17.39%,88.24%,36.59%,26.99%
,Steel,40.63%,18.84%,88.24%,36.59%,27.71%
,Bronze,62.50%,28.99%,76.47%,31.71%,30.35%
,Nickel,56.25%,26.09%,82.35%,34.15%,30.12%
,Copper,65.63%,30.43%,76.47%,31.71%,31.07%
,Silver,75.00%,34.78%,70.59%,29.27%,32.03%
,Lead,96.88%,44.93%,64.71%,26.83%,35.88%
,Gold,100.00%,46.38%,70.59%,29.27%,37.82%
,Tungsten,31.25%,14.49%,100.00%,41.46%,27.98%
,,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,
,,,,,,
,ALERION,,,,,
,MATERIAL,POWER,,PIVOT SPEED,,TOTAL INCREASE
,Cedar,33.33%,12.50%,16.67%,14.58%,14.58%
,Hemlock,33.33%,12.50%,22.22%,17.36%,17.36%
,Chestnut,33.33%,12.50%,16.67%,14.58%,14.58%
,Elm,38.89%,14.58%,16.67%,15.63%,15.63%
,Birch,38.89%,14.58%,22.22%,18.40%,18.40%
,Ash,38.89%,14.58%,27.78%,21.18%,21.18%
,Oak,38.89%,14.58%,22.22%,18.40%,18.40%
,Palm,44.44%,16.67%,27.78%,22.22%,22.22%
,,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,
