,,,,,,,,
,,,,,,,,
,BARREL,,,,,,,
,MATERIAL,POWER,,OVERHEAT,,TOTAL INCREASE,,
,Aluminium,80.00%,40.00%,41.18%,13.46%,26.73%,,
,Titanium,96.00%,48.00%,70.59%,23.08%,35.54%,,
,Tin,72.00%,36.00%,35.29%,11.54%,23.77%,,
,Iron,88.00%,44.00%,70.59%,23.08%,33.54%,,
,Steel,92.00%,46.00%,76.47%,25.00%,35.50%,,
,Bronze,84.00%,42.00%,52.94%,17.31%,29.65%,,
,Nickel,88.00%,44.00%,82.35%,26.92%,35.46%,,
,Copper,80.00%,40.00%,58.82%,19.23%,29.62%,,
,Silver,76.00%,38.00%,47.06%,15.38%,26.69%,,
,Lead,76.00%,38.00%,35.29%,11.54%,24.77%,,
,Gold,80.00%,40.00%,58.82%,19.23%,29.62%,,
,Tungsten,100.00%,50.00%,100.00%,32.69%,41.35%,,
,,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,,,
,,,,,,,,
,AMMO LOADER,,,,,,,
,MATERIAL,CAPACITY,,RATE OF FIRE,,TOTAL INCREASE,,
,Aluminium,83.87%,39.39%,66.67%,29.63%,34.51%,,
,Titanium,80.65%,38.46%,45.83%,22.45%,30.46%,,
,Tin,54.84%,29.82%,79.17%,33.33%,31.58%,,
,Iron,61.29%,32.20%,66.67%,29.63%,30.92%,,
,Steel,100.00%,43.66%,33.33%,17.39%,30.53%,,
,Bronze,41.94%,24.53%,54.17%,25.49%,25.01%,,
,Nickel,67.74%,34.43%,50.00%,24.00%,29.21%,,
,Copper,67.74%,34.43%,62.50%,28.30%,31.36%,,
,Silver,58.06%,31.03%,70.83%,30.91%,30.97%,,
,Lead,35.48%,21.57%,95.83%,37.70%,29.64%,,
,Gold,45.16%,25.93%,100.00%,38.71%,32.32%,,
,Tungsten,90.32%,41.18%,20.83%,11.63%,26.40%,,
,,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,,,
,,,,,,,,
,FIRING MECHANISM,,,,,,,
,MATERIAL,POWER,,OVERHEAT LIMIT,,RATE OF FIRE,,TOTAL INCREASE
,Aluminium,65.00%,30.23%,26.67%,15.09%,93.55%,43.28%,29.54%
,Titanium,45.00%,23.08%,70.00%,31.82%,90.32%,42.42%,32.44%
,Tin,75.00%,33.33%,16.67%,10.00%,80.65%,39.68%,27.67%
,Iron,30.00%,16.67%,63.33%,29.69%,83.87%,40.63%,28.99%
,Steel,35.00%,18.92%,73.33%,32.84%,100.00%,44.93%,32.23%
,Bronze,55.00%,26.83%,43.33%,22.41%,77.42%,38.71%,29.32%
,Nickel,50.00%,25.00%,80.00%,34.78%,87.10%,41.54%,33.77%
,Copper,60.00%,28.57%,53.33%,26.23%,87.10%,41.54%,32.11%
,Silver,70.00%,31.82%,36.67%,19.64%,80.65%,39.68%,30.38%
,Lead,95.00%,38.78%,20.00%,11.76%,74.19%,37.70%,29.42%
,Gold,100.00%,40.00%,46.67%,23.73%,77.42%,38.71%,34.15%
,Tungsten,25.00%,14.29%,100.00%,40.00%,96.77%,44.12%,32.80%
,,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,MATERIAL EFFECTIVENESS,PERCENTAGE INCREASE ABOVE BASE,
