,,,,,,,,,,,,,,
,MATERIAL,INCREASE IN KG PER QUALITY LEVEL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,MAX INCREASE,PERCENTAGE BASED ON Q10
,Aluminium,6,1066,1072,1078,1084,1090,1096,1102,1108,1114,1120,120,12.00%
,Titanium,1,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,20,2.00%
,Tin,4.5,1049.5,1054,1058.5,1063,1067.5,1072,1076.5,1081,1085.5,1090,90,9.00%
,Iron,3,1034,1037,1040,1043,1046,1049,1052,1055,1058,1061,61,6.10%
,Steel,1.5,1016.5,1018,1019.5,1021,1022.5,1024,1025.5,1027,1028.5,1030,30,3.00%
,Bronze,2.5,1027.5,1030,1032.5,1035,1037.5,1040,1042.5,1045,1047.5,1050,50,5.00%
,Nickel,4,1044,1048,1052,1056,1060,1064,1068,1072,1076,1080,80,8.00%
,Copper,7.5,1082.5,1090,1097.5,1105,1112.5,1120,1127.5,1135,1142.5,1150,150,15.00%
,Silver,8,1088,1096,1104,1112,1120,1128,1136,1144,1152,1160,160,16.00%
,Lead,2,1022,1024,1026,1028,1030,1032,1034,1036,1038,1040,40,4.00%
,Gold,8.5,1093.5,1102,1110.5,1119,1127.5,1136,1144.5,1153,1161.5,1170,170,17.00%
,Tungsten,3.5,1038.5,1042,1045.5,1049,1052.5,1056,1059.5,1063,1066.5,1070,70,7.00%
