second,bot,staleness_ms_p50,staleness_ms_p95,staleness_ms_max,recv_rate,send_rate
0,botA,0.402,3.501,7.765,36,36
0,botB,0.405,1.94,2.053,36,36
1,botA,0.401,1.81,1.905,36,36
1,botB,0.408,1.127,1.681,34,36
2,botA,0.302,0.985,1.768,36,36
2,botB,0.335,0.628,1.716,38,36
3,botA,0.343,0.77,1.745,36,36
3,botB,0.371,1.278,1.829,36,36
4,botA,0.384,0.839,1.77,36,36
4,botB,0.407,0.892,1.776,36,36
5,botA,0.316,0.773,1.583,36,36
5,botB,0.327,0.458,0.678,36,36
6,botA,0.324,0.836,1.687,36,36
6,botB,0.351,0.667,1.447,36,36
7,botA,0.276,1.767,1.799,36,36
7,botB,0.277,0.337,0.354,36,36
8,botA,0.273,1.147,1.818,36,36
8,botB,0.323,0.739,1.609,36,36
9,botA,0.326,0.811,1.721,36,36
9,botB,0.325,0.855,1.556,36,36
10,botA,0.256,0.704,1.675,36,36
10,botB,0.289,0.757,1.491,36,36
11,botA,0.289,0.709,1.505,36,36
11,botB,0.275,0.86,1.863,36,36
12,botA,0.253,0.719,1.417,36,36
12,botB,0.274,0.822,1.915,36,36
13,botA,0.293,0.673,1.589,36,36
13,botB,0.301,0.788,1.661,36,36
14,botA,0.291,0.791,1.813,36,36
14,botB,0.314,0.909,1.848,36,36
15,botA,0.318,0.991,1.686,36,36
15,botB,0.333,0.83,1.69,36,36
16,botA,0.286,1.516,1.608,36,36
16,botB,0.301,0.568,0.836,36,36
17,botA,0.233,0.307,0.318,36,36
17,botB,0.276,1.641,1.724,36,36
18,botA,0.272,1.594,1.686,36,36
18,botB,0.308,0.509,0.573,36,36
19,botA,0.25,0.368,0.485,36,34
19,botB,0.256,0.894,1.752,34,36
20,botA,0.247,0.692,1.631,36,38
20,botB,0.299,0.582,1.542,38,36
21,botA,0.268,0.458,0.528,36,34
21,botB,0.354,1.674,1.925,34,36
22,botA,0.337,1.711,1.894,36,38
22,botB,0.362,0.47,0.476,38,36
23,botA,0.279,0.717,1.587,36,36
23,botB,0.317,0.721,1.658,36,36
24,botA,0.291,0.725,1.578,36,36
24,botB,0.327,0.788,1.438,34,36
25,botA,0.248,1.175,3.623,36,36
25,botB,0.258,1.419,1.693,38,36
26,botA,0.317,1.475,1.694,36,36
26,botB,0.292,0.586,0.634,36,36
27,botA,0.267,0.735,1.634,36,36
27,botB,0.319,0.694,1.502,36,36
28,botA,0.329,1.693,1.741,36,36
28,botB,0.333,0.5,0.526,36,36
29,botA,0.273,1.271,1.543,36,36
29,botB,0.298,0.747,1.432,34,36
30,botA,0.245,0.739,1.716,36,36
30,botB,0.286,0.635,1.85,38,36
31,botA,0.23,3.876,14.578,36,36
31,botB,0.238,1.512,1.74,36,36
32,botA,0.276,1.533,1.555,36,36
32,botB,0.29,0.429,0.43,36,36
33,botA,0.287,0.717,1.564,36,36
33,botB,0.325,0.737,1.49,36,36
34,botA,0.335,0.832,1.57,36,34
34,botB,0.356,0.512,0.537,34,36
35,botA,0.238,0.73,1.523,36,38
35,botB,0.265,0.845,1.607,38,36
36,botA,0.286,1.103,1.798,36,36
36,botB,0.326,0.833,1.659,36,36
37,botA,0.246,1.686,1.741,36,36
37,botB,0.3,0.536,0.751,36,36
38,botA,0.239,0.863,1.873,36,36
38,botB,0.29,1.589,1.603,36,36
39,botA,0.267,0.768,1.532,36,36
39,botB,0.287,0.923,1.906,36,36
40,botA,0.241,0.894,1.402,36,36
40,botB,0.304,0.686,1.41,36,36
41,botA,0.232,0.867,1.686,36,36
41,botB,0.302,0.843,1.455,36,36
42,botA,0.233,1.482,1.631,36,36
42,botB,0.257,0.364,0.525,36,36
43,botA,0.207,1.073,1.611,36,36
43,botB,0.264,0.782,1.518,36,36
44,botA,0.273,0.664,1.677,36,36
44,botB,0.358,0.862,1.768,36,36
45,botA,0.266,0.875,1.691,36,36
45,botB,0.306,0.81,1.476,36,36
46,botA,0.255,1.65,1.777,36,36
46,botB,0.273,0.415,0.449,36,36
47,botA,0.244,1.455,1.799,36,36
47,botB,0.273,0.372,0.398,36,36
48,botA,0.253,0.766,1.682,36,36
48,botB,0.352,0.739,1.439,36,36
49,botA,0.3,0.766,1.594,36,36
49,botB,0.341,0.892,1.568,36,36
50,botA,0.24,0.673,1.548,36,36
50,botB,0.261,0.678,1.567,36,36
51,botA,0.242,0.723,1.454,36,36
51,botB,0.288,0.422,0.467,36,36
52,botA,0.268,0.71,1.434,36,36
52,botB,0.282,0.878,1.914,36,36
53,botA,0.332,0.79,1.688,36,36
53,botB,0.405,0.836,1.649,36,36
54,botA,0.263,0.764,1.641,36,36
54,botB,0.285,1.12,1.959,36,36
55,botA,0.243,0.525,0.631,36,36
55,botB,0.295,1.517,1.604,36,36
56,botA,0.257,0.668,1.472,36,36
56,botB,0.305,0.877,1.596,36,36
57,botA,0.259,0.73,1.685,36,36
57,botB,0.274,0.85,1.812,36,36
58,botA,0.242,0.68,1.689,36,36
58,botB,0.289,0.803,1.689,36,36
59,botA,0.258,1.541,1.591,36,36
59,botB,0.308,0.487,0.512,36,36
60,botA,0.291,0.751,1.823,36,36
60,botB,0.355,0.817,1.521,36,36
61,botA,0.245,0.352,0.39,36,36
61,botB,0.304,1.502,1.534,36,36
62,botA,0.248,1.669,1.707,36,36
62,botB,0.29,0.589,0.749,36,36
63,botA,0.303,0.791,1.486,36,36
63,botB,0.334,1.301,1.764,34,36
64,botA,0.285,0.536,0.585,36,36
64,botB,0.378,0.766,1.724,38,36
65,botA,0.267,1.484,1.707,36,36
65,botB,0.306,0.543,0.591,36,36
66,botA,0.275,0.718,1.648,36,36
66,botB,0.308,0.848,1.738,36,36
67,botA,0.305,0.843,1.726,36,36
67,botB,0.378,0.909,1.563,36,36
68,botA,0.216,0.744,1.729,36,36
68,botB,0.235,0.639,1.682,36,36
69,botA,0.243,0.666,1.58,36,36
69,botB,0.278,0.733,1.464,36,36
70,botA,0.266,0.712,1.508,36,36
70,botB,0.335,0.872,1.79,36,36
71,botA,0.276,1.543,1.636,36,36
71,botB,0.351,0.544,0.545,36,36
72,botA,0.242,0.5,0.659,36,36
72,botB,0.365,1.75,1.822,34,36
73,botA,0.304,0.756,1.636,36,36
73,botB,0.359,0.678,1.636,38,36
74,botA,0.255,1.557,1.692,36,36
74,botB,0.32,0.55,0.683,36,36
75,botA,0.231,0.343,0.391,36,36
75,botB,0.288,1.68,1.694,36,36
76,botA,0.319,1.086,1.552,36,34
76,botB,0.305,1.238,2.327,34,36
77,botA,0.27,1.544,1.584,36,38
77,botB,0.277,0.658,0.866,36,36
78,botA,0.336,0.833,1.036,36,36
78,botB,0.41,1.561,1.641,38,36
79,botA,0.35,0.887,1.655,36,36
79,botB,0.35,0.642,0.773,36,36
80,botA,0.21,0.303,0.335,36,36
80,botB,0.264,1.596,1.608,36,36
81,botA,0.321,0.949,1.382,36,36
81,botB,0.396,0.79,1.471,36,36
82,botA,0.408,1.073,1.834,36,36
82,botB,0.506,0.991,1.699,36,36
83,botA,0.237,1.617,1.77,36,36
83,botB,0.279,0.403,0.51,36,36
84,botA,0.231,0.303,0.359,36,36
84,botB,0.294,1.51,1.696,36,36
85,botA,0.271,1.546,1.66,36,36
85,botB,0.276,0.468,0.543,36,36
86,botA,0.25,0.612,1.399,36,36
86,botB,0.269,0.598,1.479,36,36
87,botA,0.256,0.579,1.401,36,36
87,botB,0.284,0.717,1.862,36,36
88,botA,0.26,2.128,3.75,36,36
88,botB,0.286,0.42,0.447,36,36
89,botA,0.254,0.854,2.207,36,34
89,botB,0.339,0.869,1.647,34,36
90,botA,0.302,1.039,1.821,36,38
90,botB,0.33,0.693,1.604,38,36
91,botA,0.247,0.665,1.448,36,36
91,botB,0.285,0.714,1.597,36,36
92,botA,0.238,0.64,1.415,36,36
92,botB,0.286,0.792,1.605,36,36
93,botA,0.261,1.714,1.78,36,36
93,botB,0.299,0.425,0.458,36,36
94,botA,0.312,0.766,1.526,36,36
94,botB,0.367,0.754,1.628,36,36
95,botA,0.264,0.767,1.616,36,36
95,botB,0.265,0.813,1.627,36,36
96,botA,0.227,0.349,0.5,36,36
96,botB,0.264,0.94,1.699,36,36
97,botA,0.166,1.553,1.607,36,36
97,botB,0.263,0.309,0.349,36,36
98,botA,0.247,1.469,1.627,36,36
98,botB,0.292,0.426,0.442,36,36
99,botA,0.214,0.709,1.807,36,36
99,botB,0.223,1.054,2.057,36,36
100,botA,0.232,0.626,1.446,36,36
100,botB,0.283,0.795,1.676,36,36
101,botA,0.257,0.656,1.435,36,36
101,botB,0.292,0.834,1.831,36,36
102,botA,0.207,0.308,0.372,36,36
102,botB,0.278,1.557,1.756,36,36
103,botA,0.267,1.554,1.586,36,34
103,botB,0.262,0.667,0.802,34,36
104,botA,0.259,0.659,1.603,36,38
104,botB,0.322,0.779,1.792,38,36
105,botA,0.314,0.85,1.63,36,36
105,botB,0.414,1.036,1.758,36,36
106,botA,0.245,0.882,1.487,36,36
106,botB,0.347,0.921,2.02,36,36
107,botA,0.257,1.371,1.473,36,36
107,botB,0.281,0.426,0.457,36,36
108,botA,0.265,1.047,1.745,36,36
108,botB,0.347,1.126,1.846,34,36
109,botA,0.203,0.8,1.78,36,36
109,botB,0.283,0.757,1.599,38,36
110,botA,0.247,0.372,0.384,36,36
110,botB,0.279,0.715,1.548,36,36
111,botA,0.22,1.576,1.72,36,36
111,botB,0.261,0.432,0.473,34,36
112,botA,0.361,1.101,1.512,36,36
112,botB,0.357,1.03,1.712,38,36
113,botA,0.231,1.636,1.851,36,36
113,botB,0.263,0.481,0.522,36,36
114,botA,0.238,0.433,0.644,36,36
114,botB,0.291,1.72,1.814,36,36
115,botA,0.254,0.725,1.607,36,36
115,botB,0.256,0.753,1.725,36,36
116,botA,0.25,1.716,1.823,36,36
116,botB,0.273,0.57,0.601,36,36
117,botA,0.212,0.613,1.537,36,36
117,botB,0.24,0.69,1.626,36,36
118,botA,0.243,0.848,1.43,36,36
118,botB,0.228,0.662,1.557,36,36
119,botA,0.227,0.727,1.492,36,36
119,botB,0.286,0.692,1.564,36,36
120,botA,0.303,0.914,1.616,36,36
120,botB,0.358,0.935,1.636,36,36
121,botA,0.291,0.814,1.679,36,36
121,botB,0.309,0.82,1.738,36,36
122,botA,0.244,0.794,1.756,36,36
122,botB,0.353,0.864,1.58,36,36
123,botA,0.247,0.37,0.413,36,36
123,botB,0.341,1.522,1.655,36,36
124,botA,0.246,0.705,1.726,36,36
124,botB,0.26,0.695,1.709,36,36
125,botA,0.27,0.466,0.506,36,36
125,botB,0.307,0.776,1.459,36,36
126,botA,0.25,1.664,1.76,36,36
126,botB,0.277,0.483,0.694,36,36
127,botA,0.198,0.284,0.294,36,34
127,botB,0.266,1.453,1.49,34,36
128,botA,0.205,1.482,1.743,36,38
128,botB,0.255,0.503,0.54,36,36
129,botA,0.249,0.827,1.458,36,36
129,botB,0.287,0.623,1.381,38,36
130,botA,0.236,0.737,1.517,36,36
130,botB,0.289,1.028,1.499,36,36
131,botA,0.205,0.396,0.502,36,36
131,botB,0.281,1.629,1.722,36,36
132,botA,0.232,1.492,1.798,36,36
132,botB,0.267,0.442,0.538,36,36
133,botA,0.247,1.688,1.728,36,36
133,botB,0.368,0.807,0.913,34,36
134,botA,0.298,0.841,1.6,36,36
134,botB,0.362,0.679,1.792,38,36
135,botA,0.247,0.54,0.666,36,36
135,botB,0.372,1.637,1.798,36,36
136,botA,0.252,1.646,1.732,36,36
136,botB,0.332,0.519,0.701,36,36
137,botA,0.252,1.31,2.486,36,36
137,botB,0.344,0.805,1.639,36,36
138,botA,0.296,1.326,1.393,36,36
138,botB,0.263,0.59,0.603,36,36
139,botA,0.281,0.48,0.573,36,36
139,botB,0.372,1.447,1.675,36,36
140,botA,0.207,1.455,1.564,36,36
140,botB,0.21,0.34,0.365,34,36
141,botA,0.25,0.348,0.373,36,36
141,botB,0.291,1.858,1.938,38,36
142,botA,0.337,1.039,1.456,36,36
142,botB,0.364,0.849,1.712,36,36
143,botA,0.276,0.83,1.726,36,34
143,botB,0.314,0.46,0.529,34,36
144,botA,0.252,0.772,1.483,36,38
144,botB,0.368,0.713,1.686,38,36
145,botA,0.275,0.703,1.633,36,36
145,botB,0.321,0.871,1.68,36,36
146,botA,0.279,0.674,1.367,36,36
146,botB,0.32,0.786,1.729,36,36
147,botA,0.264,0.706,1.547,36,36
147,botB,0.326,1.004,1.693,36,36
148,botA,0.248,0.888,1.521,36,36
148,botB,0.35,0.901,1.725,36,36
149,botA,0.257,1.075,1.515,36,36
149,botB,0.317,0.838,1.525,34,36
150,botA,0.287,0.771,1.627,36,36
150,botB,0.317,0.656,1.476,38,36
151,botA,0.225,0.327,0.34,36,36
151,botB,0.286,1.621,1.774,36,36
152,botA,0.223,0.742,1.627,36,36
152,botB,0.253,0.801,1.465,34,36
153,botA,0.235,1.497,1.696,36,36
153,botB,0.273,0.362,0.412,38,36
154,botA,0.24,0.958,1.67,36,36
154,botB,0.289,0.97,1.68,36,36
155,botA,0.265,0.796,1.638,36,36
155,botB,0.253,0.799,1.394,36,36
156,botA,0.287,1.358,1.424,36,36
156,botB,0.299,0.53,0.794,36,36
157,botA,0.251,0.451,0.468,36,36
157,botB,0.285,0.833,1.7,36,36
158,botA,0.245,0.735,1.637,36,36
158,botB,0.343,0.845,1.615,36,36
159,botA,0.292,1.651,1.684,36,36
159,botB,0.331,0.814,0.932,36,36
160,botA,0.25,0.853,1.615,36,36
160,botB,0.282,0.941,1.407,36,36
161,botA,0.252,0.665,1.438,36,36
161,botB,0.363,0.832,1.748,36,36
162,botA,0.239,0.665,1.472,36,36
162,botB,0.272,0.789,1.467,36,36
163,botA,0.304,0.942,1.678,36,36
163,botB,0.348,1.222,3.282,36,36
164,botA,0.238,0.772,1.743,36,36
164,botB,0.315,0.875,1.698,36,36
165,botA,0.242,0.355,0.512,36,36
165,botB,0.261,1.444,1.468,36,36
166,botA,0.234,0.684,1.614,36,36
166,botB,0.25,0.778,1.713,36,36
167,botA,0.207,0.774,1.685,36,36
167,botB,0.25,0.751,1.675,36,36
168,botA,0.277,0.888,1.711,36,36
168,botB,0.329,0.855,1.982,36,36
169,botA,0.309,0.732,1.65,36,36
169,botB,0.375,1.207,2.072,36,36
170,botA,0.211,1.465,1.686,36,36
170,botB,0.233,0.31,0.424,36,36
171,botA,0.169,0.593,1.483,36,36
171,botB,0.209,0.635,1.661,36,36
172,botA,0.24,0.707,1.714,36,36
172,botB,0.279,0.862,1.466,36,36
173,botA,0.245,0.756,1.634,36,36
173,botB,0.306,1.038,1.698,36,36
174,botA,0.208,0.292,0.309,36,36
174,botB,0.249,1.641,1.654,36,36
